timestamp,Vb,Vs,Is,P,Ph
23265,12.1563,0.0041,0.041,0.4975,52.2375
23370,12.1563,0.0041,0.0407,0.495,51.975
23475,12.1563,0.0041,0.0405,0.4925,51.7125
23578,12.1563,0.004,0.0404,0.4925,50.7275
23682,12.1563,0.0041,0.0406,0.4925,51.22
23786,12.1563,0.0041,0.0407,0.495,51.48
23890,12.1563,0.0041,0.0406,0.4925,51.22
23993,12.1563,0.0043,0.0433,0.525,54.075
24097,12.0925,0.0057,0.0574,0.685,71.24
24200,12.0687,0.0056,0.0561,0.6675,68.7525
24304,12.1137,0.0042,0.0417,0.505,52.52
24408,12.155,0.0044,0.0443,0.5375,55.9
24511,12.1463,0.0043,0.043,0.5225,53.8175
24615,12.0638,0.0058,0.058,0.6925,72.02
24718,12.06,0.0056,0.0563,0.67,69.01
24822,12.1487,0.0051,0.0506,0.615,63.96
24926,12.1563,0.0045,0.0455,0.5525,57.46
25030,12.1325,0.0049,0.0491,0.5925,61.62
25133,12.0725,0.0052,0.0524,0.625,64.375
25237,12.0675,0.0062,0.0621,0.7425,77.22
25341,12.1563,0.0043,0.0427,0.5175,53.82
25444,12.1275,0.005,0.0505,0.6125,63.0875
25548,12.0663,0.0056,0.0562,0.67,69.68
25651,12.06,0.0059,0.0588,0.7,72.1
25755,12.1463,0.005,0.0505,0.6125,63.7
25859,12.155,0.0067,0.0666,0.795,82.68
25963,12.155,0.0041,0.0408,0.495,51.48
26067,12.0613,0.0057,0.0566,0.675,70.2
26170,12.06,0.006,0.0598,0.7125,73.3875
26274,12.155,0.0044,0.0444,0.54,56.16
26377,12.095,0.0048,0.0484,0.58,59.74
26481,12.1563,0.0038,0.0385,0.4675,48.62
26584,12.1563,0.0038,0.0376,0.4575,47.1225
26688,12.1563,0.0038,0.0383,0.465,48.36
26792,12.16,0.0033,0.0327,0.3975,41.34
26895,12.16,0.0033,0.0326,0.3975,40.9425
26999,12.16,0.0032,0.0324,0.3925,40.82
27103,12.1587,0.0035,0.0349,0.425,44.2
27207,12.1563,0.0039,0.0391,0.475,49.4
27310,12.1325,0.0043,0.0434,0.5275,54.3325
27414,12.1513,0.0048,0.0481,0.585,60.84
27518,12.0988,0.0059,0.0589,0.71,73.84
27621,12.1013,0.0061,0.0606,0.7325,75.4475
27725,12.1013,0.0061,0.0613,0.74,76.96
27829,12.15,0.0053,0.053,0.645,67.08
27932,11.96,0.0082,0.0824,0.98,100.94
28036,11.9838,0.0076,0.0764,0.9125,94.9
28140,11.9262,0.0086,0.0865,0.7525,78.26
28243,12.1475,0.0055,0.0554,0.6725,69.2675
28347,12.1525,0.0047,0.0468,0.57,59.28
28451,12.15,0.0049,0.049,0.595,61.88
28554,12.1487,0.0055,0.0546,0.6625,68.2375
28658,12.1525,0.0056,0.0561,0.6825,70.98
28762,12.1513,0.0054,0.0536,0.6525,67.86
28865,12.15,0.0051,0.0509,0.6175,63.6025
28969,12.15,0.0049,0.0491,0.595,61.88
29072,12.1137,0.0054,0.0536,0.6475,66.6925
29176,12.1425,0.0053,0.053,0.6425,66.82
29280,12.1513,0.0052,0.0521,0.6325,65.78
29384,12.1525,0.0045,0.0451,0.5475,56.94
29487,12.1,0.0057,0.0572,0.69,71.07
29591,12.1525,0.0055,0.0546,0.665,69.16
29694,12.1013,0.0061,0.0606,0.7325,75.4475
29798,12.15,0.005,0.0501,0.61,63.44
29902,12.15,0.005,0.0496,0.6025,62.66
30005,12.1563,0.0043,0.0425,0.5175,53.3025
30109,12.1575,0.0041,0.0411,0.5,52.0
30212,12.1575,0.004,0.04,0.485,49.955
30316,12.1575,0.0038,0.0381,0.4625,48.1
30420,12.1563,0.0038,0.0376,0.4575,47.58
30523,12.1575,0.004,0.0402,0.49,50.47
30627,12.1575,0.004,0.0405,0.4925,51.22
30731,12.1575,0.0039,0.0388,0.4725,49.14
30835,12.1563,0.0038,0.0383,0.465,48.36
30938,12.1575,0.0039,0.0391,0.475,48.925
31042,12.1575,0.004,0.0397,0.4825,50.18
31146,12.1575,0.004,0.04,0.4875,50.7
31249,12.1575,0.0039,0.0385,0.4675,48.1525
31353,12.155,0.0041,0.0414,0.5025,52.26
31457,12.1563,0.0042,0.0415,0.505,52.52
31562,12.1575,0.004,0.0399,0.485,50.925
31665,12.1575,0.0039,0.0392,0.4775,49.1825
31769,12.1563,0.0039,0.0387,0.47,48.88
31872,12.1575,0.0038,0.0378,0.46,47.38
31976,12.1575,0.004,0.0397,0.4825,50.18
32080,12.1575,0.004,0.04,0.4875,50.7
32183,12.1575,0.0039,0.039,0.475,48.925
32287,12.1563,0.0038,0.0376,0.4575,47.58
32390,12.1575,0.0038,0.0385,0.4675,48.1525
32494,12.1575,0.004,0.0396,0.4825,50.18
32598,12.1575,0.004,0.0403,0.49,50.96
32702,12.1563,0.0039,0.0392,0.4775,49.66
32805,12.155,0.0041,0.0407,0.495,50.985
32909,12.1563,0.0041,0.041,0.4975,51.74
33012,12.1575,0.0041,0.0407,0.495,50.985
33116,12.1575,0.0039,0.0393,0.4775,49.66
33220,12.1563,0.0037,0.0375,0.455,47.32
33323,12.1575,0.0038,0.0378,0.46,47.38
33427,12.1575,0.004,0.0404,0.4925,51.22
33531,12.1575,0.004,0.0403,0.49,50.96
33634,12.1575,0.0038,0.0379,0.46,47.38
33738,12.1563,0.0037,0.0373,0.4525,47.06
33841,12.1563,0.004,0.0397,0.4825,49.6975
33945,12.1563,0.0042,0.0421,0.5125,53.3
34049,12.155,0.0045,0.0448,0.545,56.68
34152,12.1587,0.0035,0.0348,0.4225,43.5175
34256,12.1575,0.0038,0.0375,0.455,47.32
34360,12.1587,0.0034,0.0336,0.4075,42.38
34464,12.16,0.0033,0.0326,0.395,41.08
34567,12.16,0.0032,0.0322,0.39,40.17
34671,12.1587,0.0034,0.0336,0.4075,42.38
34775,12.1587,0.0035,0.0347,0.4225,43.94
34878,12.16,0.0032,0.0324,0.3925,40.4275
34982,12.16,0.0033,0.0333,0.405,42.12
35086,12.16,0.0032,0.0321,0.39,40.56
35189,12.1587,0.0036,0.0356,0.4325,44.5475
35293,12.1563,0.0043,0.0426,0.5175,53.82
35397,12.1563,0.0044,0.0437,0.53,55.12
35500,12.155,0.0049,0.0485,0.59,60.77
35604,12.15,0.0059,0.0595,0.7225,75.14
35707,12.1487,0.006,0.0597,0.725,74.675
35812,12.1525,0.0045,0.0452,0.55,57.75
35916,12.1513,0.0052,0.052,0.6325,65.78
36019,12.1513,0.0048,0.0483,0.5875,60.5125
36123,12.1538,0.0049,0.049,0.595,61.88
36227,12.1525,0.0055,0.055,0.6675,69.42
36331,12.1525,0.0055,0.055,0.6675,69.42
36435,12.15,0.0049,0.0489,0.595,61.88
36538,12.1487,0.0054,0.0538,0.655,67.465
36642,12.1525,0.0054,0.0537,0.6525,67.86
36745,12.1538,0.0055,0.0554,0.6725,69.2675
36849,12.1513,0.0049,0.0489,0.595,61.88
36953,12.15,0.0049,0.0489,0.595,61.88
37056,12.1487,0.0057,0.0565,0.6875,70.8125
37160,12.15,0.006,0.0598,0.7275,75.66
37264,12.1513,0.0058,0.0582,0.7075,73.58
37367,12.15,0.0049,0.0492,0.5975,61.5425
37471,12.1487,0.0053,0.0528,0.6425,66.82
37574,12.1525,0.0052,0.0523,0.635,65.405
37678,12.1525,0.0054,0.0545,0.6625,68.9
37782,12.1513,0.005,0.0499,0.6075,63.18
37885,12.1487,0.0052,0.0518,0.63,64.89
37989,12.1513,0.005,0.05,0.6075,63.18
38093,12.1525,0.0054,0.054,0.655,68.12
38197,12.1538,0.0055,0.055,0.6425,66.82
38300,12.1487,0.0053,0.0534,0.6475,66.6925
38404,12.1487,0.0053,0.0531,0.645,67.08
38508,12.15,0.0055,0.0547,0.665,69.16
38611,12.1513,0.0058,0.0582,0.7075,72.8725
38715,12.1513,0.0051,0.0509,0.6175,64.22
38819,12.15,0.0049,0.0494,0.6,62.4
38922,12.1513,0.0048,0.0476,0.5775,59.4825
39026,12.1575,0.0038,0.0378,0.46,47.84
39130,12.1575,0.0041,0.0408,0.495,51.48
39233,12.1575,0.004,0.0402,0.49,50.47
39337,12.1575,0.0038,0.0385,0.4675,48.62
39440,12.1563,0.0037,0.0374,0.455,46.865
39544,12.1563,0.0038,0.0383,0.465,48.36
39647,12.1575,0.0041,0.0406,0.495,50.985
39751,12.1575,0.0039,0.0392,0.4775,49.66
39855,12.1563,0.004,0.0402,0.4875,50.7
39958,12.155,0.004,0.0405,0.4925,50.7275
40062,12.1575,0.0041,0.0406,0.495,51.48
40166,12.1575,0.0039,0.0392,0.4775,49.66
40269,12.1563,0.0039,0.0389,0.4725,48.6675
40373,12.1563,0.0038,0.0376,0.4575,47.58
40477,12.1563,0.0039,0.0386,0.47,48.88
40580,12.1575,0.004,0.0395,0.48,49.44
40684,12.1575,0.004,0.0396,0.4825,50.18
40788,12.1563,0.0039,0.0388,0.4725,49.14
40891,12.1563,0.0038,0.0382,0.465,47.895
40995,12.1575,0.0039,0.0395,0.48,49.92
41099,12.1575,0.004,0.0399,0.485,50.44
41202,12.1575,0.0039,0.0393,0.4775,49.1825
41305,12.155,0.0041,0.0411,0.5,51.5
41408,12.155,0.0041,0.0408,0.495,50.985
41511,12.1575,0.004,0.0396,0.4825,49.6975
41613,12.1575,0.004,0.04,0.4875,49.725
41716,12.1563,0.0039,0.0393,0.4775,49.1825
41819,12.1563,0.0037,0.0373,0.4525,46.6075
41922,12.1575,0.004,0.0397,0.4825,49.6975
42025,12.1575,0.004,0.04,0.4875,50.2125
42128,12.1563,0.004,0.04,0.4875,50.2125
42231,12.1563,0.0038,0.0381,0.4625,47.6375
42336,12.1563,0.0038,0.0376,0.4575,48.0375
42441,12.1575,0.004,0.04,0.4875,51.1875
42546,12.1575,0.0041,0.0407,0.495,51.975
42651,12.1575,0.0039,0.0387,0.47,49.35
42756,12.155,0.0041,0.0408,0.495,51.975
42859,12.1563,0.0041,0.0406,0.4925,50.7275
42963,12.1525,0.005,0.0499,0.6075,63.18
43066,12.1513,0.0052,0.0515,0.625,64.375
43170,12.155,0.0044,0.0439,0.535,55.64
43274,12.1587,0.0033,0.0331,0.4025,41.86
43377,12.1587,0.0035,0.035,0.425,43.775
43481,12.1587,0.0034,0.0342,0.4175,43.42
43585,12.16,0.0033,0.0328,0.3975,41.34
43688,12.1587,0.0035,0.0353,0.43,44.29
43792,12.16,0.0032,0.0324,0.395,41.08
43895,12.16,0.0033,0.0327,0.3975,40.9425
43999,12.16,0.0033,0.0332,0.405,42.12
44103,12.16,0.0034,0.0337,0.41,42.64
44206,12.1587,0.0035,0.0351,0.4275,44.0325
44310,12.16,0.0033,0.0328,0.4,41.6
44413,12.16,0.0033,0.033,0.4,41.2
44518,12.16,0.0033,0.0327,0.3975,41.7375
44621,12.16,0.0032,0.032,0.39,40.17
44725,12.16,0.0032,0.0322,0.3925,40.82
44829,12.16,0.0033,0.0325,0.395,41.08
44932,12.16,0.0033,0.033,0.4025,41.4575
45036,12.16,0.0033,0.0328,0.3975,41.34
45139,12.16,0.0032,0.0319,0.3875,39.9125
45243,12.16,0.0032,0.0325,0.395,41.08
45346,12.16,0.0033,0.0327,0.3975,40.9425
45450,12.16,0.0033,0.0328,0.4,41.6
45553,12.1587,0.0035,0.0351,0.4275,44.0325
45658,12.1575,0.0037,0.0367,0.4475,46.9875
45761,12.16,0.0033,0.0329,0.4,41.2
45865,12.16,0.0033,0.0329,0.4,41.6
45968,12.16,0.0033,0.0328,0.3975,40.9425
46072,12.1587,0.0032,0.0319,0.3875,40.3
46176,12.16,0.0032,0.0322,0.3925,40.82
46280,12.16,0.0033,0.0325,0.395,41.08
46383,12.16,0.0033,0.033,0.4,41.2
46487,12.1563,0.0042,0.0416,0.505,52.52
46591,12.16,0.0032,0.032,0.3875,40.3
46695,12.16,0.0032,0.0323,0.3925,40.82
46798,12.16,0.0033,0.0326,0.3975,40.9425
46902,12.16,0.0036,0.036,0.4375,45.5
47006,12.1587,0.0035,0.0352,0.4275,44.46
47110,12.1587,0.0034,0.0345,0.42,43.68
47213,12.16,0.0032,0.0324,0.395,40.685
47317,12.16,0.0033,0.0329,0.4,41.6
47420,12.1587,0.0034,0.0338,0.41,42.23
47524,12.1587,0.0033,0.0335,0.4075,42.38
47628,12.16,0.0032,0.0323,0.3925,40.82
47731,12.16,0.0033,0.0327,0.3975,40.9425
47835,12.1587,0.0034,0.0344,0.4175,43.42
47939,12.1587,0.0034,0.0336,0.4075,42.38
48042,12.16,0.0032,0.0321,0.39,40.17
48146,12.16,0.0032,0.0323,0.3925,40.82
48250,12.16,0.0033,0.0328,0.3975,41.34
48353,12.1575,0.0037,0.0365,0.445,45.835
48457,12.1587,0.0035,0.0349,0.425,44.2
48560,12.1587,0.0034,0.0339,0.4125,42.4875
48664,12.16,0.0032,0.0324,0.395,41.08
48768,12.1587,0.0034,0.0344,0.42,43.68
48871,12.1587,0.0033,0.0331,0.4025,41.4575
