timestamp,Vb,Vs,Is,P,Ph
31409,12.15,0.0043,0.0428,0.52,54.08
31514,12.1375,0.0051,0.0507,0.6725,70.6125
31619,12.1525,0.0046,0.0458,0.5575,58.5375
31724,12.145,0.005,0.0499,0.605,63.525
31828,12.145,0.0048,0.0479,0.5825,60.58
31933,12.14,0.0051,0.051,0.6175,64.8375
32038,12.1463,0.0054,0.0537,0.6525,68.5125
32143,12.1513,0.0047,0.047,0.57,59.85
32247,12.14,0.0059,0.0592,0.7175,74.62
32352,12.15,0.0046,0.0463,0.5625,59.0625
32457,12.1375,0.005,0.0504,0.61,64.05
32561,12.1513,0.0044,0.0436,0.53,55.12
32666,12.1538,0.0037,0.0375,0.455,47.775
32771,12.1538,0.0037,0.0368,0.4475,46.9875
32876,12.1538,0.0037,0.0366,0.445,46.725
32980,12.1538,0.0037,0.0368,0.4475,46.54
33085,12.1525,0.004,0.04,0.4875,51.1875
33190,12.1538,0.0037,0.0369,0.45,47.25
33294,12.1538,0.0037,0.037,0.45,46.8
33399,12.1538,0.0036,0.0364,0.4425,46.4625
33504,12.1538,0.0037,0.0365,0.445,46.725
33609,12.15,0.0046,0.0461,0.56,58.8
33713,12.1463,0.0048,0.0485,0.5875,61.1
33818,12.1487,0.0053,0.0528,0.6425,67.4625
33922,12.145,0.0054,0.0544,0.66,68.64
34027,12.145,0.0056,0.0555,0.675,70.875
34132,12.1463,0.0058,0.0579,0.7025,73.7625
34237,12.1463,0.0058,0.0584,0.71,74.55
34342,12.145,0.0054,0.0541,0.6575,69.0375
34446,12.1438,0.0055,0.0553,0.67,69.68
34551,12.145,0.0056,0.0556,0.675,70.875
34656,12.1438,0.0061,0.0607,0.7375,77.4375
34760,12.1475,0.0053,0.0529,0.6425,66.82
34865,12.145,0.006,0.0596,0.7225,75.8625
34970,12.1438,0.0064,0.064,0.7775,81.6375
35075,12.1438,0.0059,0.0595,0.7225,75.8625
35180,12.1438,0.0063,0.0625,0.76,79.8
35284,12.1463,0.0061,0.061,0.74,76.96
35389,12.1463,0.0055,0.055,0.6675,70.0875
35494,12.1463,0.0053,0.053,0.645,67.725
35598,12.1463,0.0057,0.0565,0.6875,71.5
35703,12.1487,0.0051,0.0514,0.625,65.625
35808,12.1475,0.0059,0.059,0.715,75.075
35912,12.145,0.0054,0.0544,0.66,68.64
36017,12.145,0.0053,0.053,0.645,67.725
36122,12.1463,0.0056,0.056,0.68,71.4
36226,12.1475,0.006,0.0595,0.7225,75.14
36331,12.1463,0.0059,0.0538,0.6525,68.5125
36435,12.15,0.0045,0.0455,0.5525,57.46
36540,12.15,0.0044,0.044,0.535,56.175
36645,12.15,0.0045,0.0455,0.5525,58.0125
36749,12.1513,0.0047,0.0465,0.565,58.76
36854,12.1525,0.0043,0.0432,0.525,55.125
36959,12.1513,0.0043,0.0428,0.52,54.6
37064,12.15,0.0042,0.0424,0.515,54.075
37168,12.1513,0.0042,0.0421,0.5125,53.3
37273,12.1525,0.0044,0.0436,0.53,55.65
37378,12.1525,0.0044,0.0444,0.54,56.7
37482,12.1513,0.0043,0.0433,0.525,54.6
37587,12.1513,0.0041,0.0413,0.5025,52.7625
37692,12.1525,0.0044,0.0435,0.53,55.65
37797,12.1525,0.0044,0.0442,0.5375,56.4375
37901,12.1513,0.0045,0.0453,0.55,57.2
38006,12.15,0.0046,0.0456,0.5525,58.0125
38111,12.15,0.0044,0.0443,0.54,56.7
38216,12.1513,0.0044,0.0435,0.53,55.65
38320,12.1525,0.0045,0.0449,0.545,56.68
38425,12.1513,0.0044,0.0439,0.5325,55.9125
38530,12.1513,0.0042,0.0419,0.51,53.55
38634,12.1513,0.0042,0.0422,0.5125,53.3
38739,12.1525,0.0044,0.0437,0.53,55.65
38844,12.1525,0.0044,0.0443,0.5375,56.4375
38948,12.1525,0.0044,0.0444,0.54,56.16
39053,12.1513,0.0042,0.0424,0.515,54.075
39158,12.1513,0.0042,0.0424,0.515,54.075
39262,12.1525,0.0043,0.0429,0.52,54.08
39367,12.1525,0.0045,0.0449,0.545,57.225
39472,12.15,0.0047,0.0468,0.5675,59.5875
39576,12.15,0.0044,0.0438,0.5325,55.38
39681,12.1513,0.0041,0.0414,0.5025,52.7625
39786,12.15,0.0045,0.045,0.5475,57.4875
39890,12.1412,0.0056,0.0558,0.675,70.2
39995,12.1387,0.0056,0.0556,0.675,70.875
40100,12.1475,0.0049,0.0495,0.6,63.0
40204,12.15,0.0043,0.0434,0.5275,54.86
40309,12.1513,0.0047,0.047,0.57,59.85
40414,12.14,0.0056,0.0565,0.685,71.925
40518,12.1387,0.0053,0.0535,0.6475,67.34
40623,12.15,0.0043,0.0434,0.5275,55.3875
40728,12.1412,0.0052,0.0524,0.635,66.675
40832,12.14,0.0059,0.0594,0.72,74.88
40937,12.1387,0.0059,0.0592,0.7175,75.3375
41042,12.1487,0.0046,0.0463,0.5625,59.0625
41146,12.15,0.0044,0.0436,0.6625,68.9
41251,12.1487,0.005,0.0502,0.61,64.05
41356,12.14,0.0056,0.0564,0.6825,71.6625
41461,12.1375,0.0062,0.062,0.7525,79.0125
41565,12.1475,0.0051,0.0515,0.625,65.0
41670,12.1387,0.0052,0.0523,0.6325,66.4125
41775,12.145,0.0054,0.0535,0.6475,67.9875
41879,12.14,0.0056,0.0565,0.6825,70.98
41984,12.1463,0.0048,0.0485,0.5875,61.6875
42089,12.14,0.0055,0.055,0.6675,70.0875
42194,12.1487,0.0044,0.0445,0.54,56.7
42299,12.1375,0.0058,0.058,0.7,73.5
42403,12.1387,0.0059,0.0586,0.71,73.84
42508,12.1513,0.0045,0.0449,0.545,57.225
42613,12.145,0.0049,0.0493,0.5975,62.7375
42717,12.15,0.0044,0.0445,0.54,56.16
42821,12.1487,0.0047,0.0469,0.57,59.28
42925,12.1513,0.0047,0.0466,0.5675,59.02
43029,12.15,0.0048,0.0482,0.585,60.84
43133,12.15,0.0044,0.0439,0.535,55.64
43238,12.1487,0.0047,0.0467,0.5675,59.5875
43342,12.1487,0.0048,0.0475,0.5775,60.06
43446,12.1513,0.0047,0.0466,0.5675,59.02
43550,12.1487,0.0052,0.0519,0.63,65.52
43654,12.15,0.0045,0.045,0.5475,56.94
43758,12.1475,0.0049,0.0489,0.595,61.88
43862,12.1513,0.0044,0.0435,0.5275,54.86
43967,12.1475,0.0053,0.0526,0.6375,66.9375
44071,12.14,0.0055,0.0548,0.665,69.16
44175,12.15,0.0045,0.0447,0.5425,56.42
44279,12.1387,0.0052,0.0522,0.63,65.52
44383,12.14,0.0056,0.0563,0.68,70.72
44487,12.1513,0.0046,0.0461,0.56,58.24
44591,12.14,0.0056,0.0564,0.6825,70.98
44695,12.1513,0.0045,0.0447,0.5425,56.42
44799,12.1325,0.0056,0.0562,0.68,70.72
44904,12.1463,0.0048,0.0479,0.58,60.9
45008,12.1425,0.0056,0.0559,0.6775,70.46
45112,12.145,0.0055,0.0548,0.665,69.16
45216,12.1375,0.0055,0.0549,0.665,69.16
45320,12.1375,0.0051,0.051,0.6175,64.22
45424,12.1513,0.0045,0.0451,0.5475,56.94
45528,12.1387,0.0056,0.0556,0.6725,69.94
45632,12.1513,0.0044,0.0443,0.5375,55.9
45737,12.1363,0.0054,0.0542,0.6575,69.0375
45841,12.14,0.0048,0.0482,0.585,60.84
45945,12.1475,0.0049,0.0485,0.5875,61.1
46049,12.1425,0.0054,0.0467,0.5675,59.02
46153,12.14,0.0051,0.0505,0.6125,63.7
46257,12.1387,0.0051,0.0513,0.62,64.48
46361,12.15,0.0042,0.0419,0.51,53.04
46465,12.15,0.0048,0.0483,0.5875,61.1
46569,12.1513,0.0047,0.0475,0.5775,60.06
46674,12.1487,0.0048,0.0483,0.5875,61.6875
46778,12.15,0.0044,0.0442,0.5375,55.9
46882,12.1513,0.0041,0.041,0.4975,51.74
46986,12.1525,0.0044,0.044,0.535,55.64
47090,12.1513,0.0048,0.0479,0.5825,60.58
47194,12.15,0.0046,0.0462,0.5625,58.5
47298,12.1513,0.0042,0.0421,0.51,53.04
47402,12.1487,0.0044,0.0439,0.535,55.64
47506,12.1513,0.0045,0.0452,0.55,57.2
47611,12.1513,0.0047,0.0473,0.575,60.375
47715,12.15,0.0046,0.0464,0.565,58.76
47819,12.1513,0.0042,0.0421,0.5125,53.3
47923,12.1513,0.0044,0.0441,0.535,55.64
48027,12.1513,0.0048,0.0479,0.5825,60.58
48131,12.1412,0.0057,0.0571,0.6925,72.02
48235,12.1387,0.0053,0.0526,0.6375,66.3
48339,12.1387,0.0049,0.0495,0.6,62.4
48444,12.1513,0.0042,0.0424,0.515,54.075
48548,12.1525,0.0045,0.0447,0.5425,56.42
48652,12.14,0.0055,0.0554,0.67,69.68
48756,12.1487,0.0044,0.0443,0.5375,55.9
48860,12.1412,0.0049,0.0488,0.5925,61.62
48964,12.1513,0.0043,0.0428,0.52,54.08
49068,12.1425,0.0054,0.0545,0.66,68.64
49172,12.14,0.0055,0.0549,0.665,69.16
49277,12.14,0.0051,0.0512,0.62,65.1
49381,12.1487,0.0044,0.0444,0.54,56.16
49485,12.15,0.0046,0.0462,0.56,58.24
49589,12.14,0.0055,0.0548,0.6625,68.9
49693,12.1513,0.0044,0.0436,0.53,55.12
49797,12.14,0.005,0.0503,0.61,63.44
49901,12.1513,0.0041,0.0412,0.5,52.0
50005,12.1475,0.0048,0.048,0.5825,60.58
50109,12.15,0.0044,0.0439,0.5325,55.38
50214,12.1412,0.0054,0.0542,0.6575,69.0375
50318,12.15,0.0043,0.0428,0.52,54.08
50422,12.1513,0.0042,0.0417,0.5075,52.78
50526,12.1387,0.005,0.0503,0.6075,63.18
50630,12.1513,0.0045,0.0451,0.5475,56.94
50734,12.15,0.0049,0.0493,0.5975,62.14
50838,12.15,0.0046,0.0458,0.5575,57.98
50942,12.15,0.0044,0.044,0.535,55.64
51046,12.1513,0.0044,0.0439,0.5325,55.38
51151,12.1513,0.0048,0.048,0.5825,61.1625
51255,12.1525,0.0044,0.0443,0.5375,55.9
51359,12.1513,0.0043,0.0426,0.5175,53.82
51463,12.15,0.0045,0.0445,0.54,56.16
51567,12.1513,0.0044,0.0436,0.53,55.12
51671,12.1513,0.0047,0.0465,0.565,58.76
51775,12.1525,0.0044,0.0442,0.5375,55.9
51879,12.1513,0.0043,0.0448,0.545,56.68
51984,12.1513,0.0042,0.0424,0.515,54.075
52088,12.1513,0.0043,0.0425,0.5175,53.82
52192,12.1525,0.0043,0.0432,0.525,54.6
52296,12.1513,0.0047,0.0466,0.5675,59.02
52400,12.1538,0.0037,0.0375,0.455,47.32
52504,12.1513,0.0043,0.0435,0.5275,54.86
52608,12.1538,0.0037,0.0374,0.455,47.32
52713,12.155,0.0035,0.0351,0.4275,44.8875
52817,12.1538,0.0037,0.0373,0.455,47.32
52921,12.155,0.0035,0.0352,0.4275,44.46
53025,12.155,0.0035,0.0353,0.43,44.72
53129,12.155,0.0036,0.0356,0.4325,44.98
53233,12.1538,0.0037,0.0374,0.455,47.32
53337,12.155,0.0037,0.0369,0.4475,46.54
53441,12.155,0.0035,0.0352,0.4275,44.46
53545,12.155,0.0035,0.0346,0.42,43.68
53650,12.1538,0.0037,0.0367,0.445,46.725
53754,12.1538,0.0039,0.0393,0.4775,49.66
53858,12.155,0.0035,0.0355,0.4325,44.98
53962,12.155,0.0035,0.0352,0.4275,44.46
54066,12.155,0.0035,0.0347,0.42,43.68
54170,12.1538,0.0038,0.0376,0.4575,47.58
54274,12.1525,0.0043,0.0426,0.5175,53.82
54378,12.1513,0.0045,0.0448,0.545,56.68
54482,12.1513,0.0042,0.0424,0.515,53.56
54587,12.1463,0.0047,0.0468,0.5675,59.5875
54691,12.1475,0.0049,0.0488,0.5925,61.62
54795,12.1475,0.005,0.0496,0.6025,62.66
54899,12.145,0.0053,0.0528,0.64,66.56
55003,12.1463,0.0053,0.053,0.645,67.08
55107,12.145,0.0062,0.0619,0.75,78.0
55211,12.1475,0.0059,0.0587,0.7125,74.1
55315,12.1463,0.0055,0.0554,0.6725,69.94
55419,12.1463,0.0053,0.0527,0.64,66.56
55524,12.1475,0.0055,0.0549,0.6675,70.0875
55628,12.1475,0.0057,0.0569,0.6925,72.02
55732,12.1475,0.0057,0.0572,0.695,72.28
